"","suicides.100k.pop","sexfemale","sexmale","age15.24.years","age25.34.years","age35.54.years","age5.14.years","age55.74.years","age75..years"
"15617",0,1,0,1,0,0,0,0,0
"15618",0,1,0,0,0,0,1,0,0
"15787",1.99,0,1,1,0,0,0,0,0
"15788",0,1,0,1,0,0,0,0,0
"15789",0,1,0,0,1,0,0,0,0
"15790",0,1,0,0,0,1,0,0,0
"15791",0,1,0,0,0,0,1,0,0
"15792",0,1,0,0,0,0,0,1,0
"15793",0,1,0,0,0,0,0,0,1
"15794",0,0,1,0,1,0,0,0,0
"15795",0,0,1,0,0,1,0,0,0
"15796",0,0,1,0,0,0,1,0,0
"15797",0,0,1,0,0,0,0,1,0
"15798",0,0,1,0,0,0,0,0,1
"16111",30.13,0,1,0,0,1,0,0,0
"16112",19.58,0,1,0,0,0,0,0,1
"16113",10.27,0,1,1,0,0,0,0,0
